"ID","Section","Topic","Difficulty","Score","Source","Stem"
"read-expr-007","reading-writing","expression-of-ideas","medium","3.5","generated","Avoid run-on: 'I like reading I also like writing."
"read-expr-008","reading-writing","expression-of-ideas","medium","3.5","generated","Misplaced modifier: Fix 'Watching the sunset, the "
"read-expr-009","reading-writing","expression-of-ideas","hard","3.5","generated","Reduce wordiness: 'The reason why he left was beca"
"read-expr-010","reading-writing","expression-of-ideas","hard","3.0","generated","Which shows most active voice?"
"read-std-011","reading-writing","standard-english-conventions","easy","4.0","generated","Possessive pronoun: 'This book is _____.'"
"read-std-012","reading-writing","standard-english-conventions","medium","3.5","generated","Who vs whom: 'To _____ should I give this?'"
"read-std-013","reading-writing","standard-english-conventions","medium","3.5","generated","Dangling modifier: 'Running late, the car sped up."
"read-std-014","reading-writing","standard-english-conventions","hard","3.5","generated","Correct sequence: 'Having studied, the student too"
"read-std-015","reading-writing","standard-english-conventions","hard","3.5","generated","Verb tense consistency: 'She walks to school and t"
"opensat-alg-001","math","algebra","easy","4.0","opensat","Solve: x + 7 = 15"
"opensat-alg-002","math","algebra","easy","4.0","opensat","Simplify: 2(3x + 4)"
"opensat-alg-003","math","algebra","medium","4.0","opensat","Solve: 2x - 5 = 11"
"opensat-alg-004","math","algebra","medium","4.0","opensat","If f(x) = x + 3, find f(5)"
"opensat-alg-005","math","algebra","hard","3.0","opensat","Solve: x² - 9 = 0"
"opensat-adv-001","math","advanced-math","easy","4.0","opensat","What is √36?"
"opensat-adv-002","math","advanced-math","medium","3.5","opensat","Simplify: x⁵/x²"
"opensat-adv-003","math","advanced-math","hard","3.0","opensat","If 3^x = 27, what is x?"
"opensat-prob-001","math","problem-solving-data-analysis","easy","4.0","opensat","If 25% of x is 10, what is x?"
"opensat-prob-002","math","problem-solving-data-analysis","medium","3.5","opensat","Average of 5, 10, 15, 20 is?"
"opensat-geo-001","math","geometry-trigonometry","easy","4.0","opensat","Area of square with side 5?"
"opensat-geo-002","math","geometry-trigonometry","medium","3.5","opensat","Perimeter of triangle with sides 3, 4, 5?"
"agieval-alg-001","math","algebra","easy","4.0","agieval","Solve: 3x = 21"
"agieval-alg-002","math","algebra","medium","4.0","agieval","Solve: 2(x + 3) = 14"
"agieval-adv-001","math","advanced-math","medium","3.5","agieval","What is √64?"
"agieval-prob-001","math","problem-solving-data-analysis","easy","4.0","agieval","30% of 100 is?"
"agieval-geo-001","math","geometry-trigonometry","easy","4.0","agieval","Circumference of circle: radius 4?"
"kaggle-alg-001","math","algebra","medium","4.0","kaggle","Solve: x² + 4x + 3 = 0"
"kaggle-alg-002","math","algebra","hard","3.5","kaggle","What is the slope of line through (1,2) and (3,6)?"
"kaggle-prob-001","math","problem-solving-data-analysis","medium","3.5","kaggle","A book costs $20 with 15% discount. Final price?"
"kaggle-geo-001","math","geometry-trigonometry","hard","3.5","kaggle","Triangle with sides 5, 12, 13 has right angle?"
"read-info-001","reading-writing","information-and-ideas","easy","4.0","generated","What does the Internet enable?"
"read-info-002","reading-writing","information-and-ideas","medium","4.0","generated","How do vaccines work?"
"read-craft-001","reading-writing","craft-and-structure","easy","4.0","generated","What is the effect of: 'The storm was absolutely d"
"read-craft-002","reading-writing","craft-and-structure","medium","3.5","generated","Purpose of ellipsis (...) in: 'I couldn't believe."
"read-expr-001","reading-writing","expression-of-ideas","easy","4.0","generated","Which is a complete sentence?"
"read-expr-002","reading-writing","expression-of-ideas","medium","3.5","generated","Combine for clarity: 'I like pizza. I like burgers"
"read-std-001","reading-writing","standard-english-conventions","easy","4.0","generated","Correct form: 'She _____ to the store.'"
"read-std-002","reading-writing","standard-english-conventions","medium","3.5","generated","Choose: 'Neither the teacher nor the students ____"
"opensat-alg-006","math","algebra","easy","4.0","opensat","Solve: 5x - 2 = 8"
"opensat-alg-007","math","algebra","medium","3.5","opensat","Factor: x² - 16"
"opensat-adv-004","math","advanced-math","easy","4.0","opensat","What is 2⁴?"
"opensat-prob-003","math","problem-solving-data-analysis","hard","4.0","opensat","A store marks up items 40%. If cost is $50, sellin"
"opensat-geo-003","math","geometry-trigonometry","hard","3.5","opensat","In isosceles triangle, two angles are 50°. Third a"
"read-info-003","reading-writing","information-and-ideas","hard","4.0","generated","What is the relationship between biodiversity and "
"read-craft-003","reading-writing","craft-and-structure","hard","3.5","generated","What is the main purpose of this structure: 'Not o"
"read-expr-003","reading-writing","expression-of-ideas","hard","2.0","generated","Most active and concise version: 'The decision tha"
"read-std-003","reading-writing","standard-english-conventions","hard","3.5","generated","Correct: 'If I _____ the answer, I would tell you."
"agieval-alg-003","math","algebra","easy","4.0","agieval","Solve: x/2 = 5"
"agieval-adv-002","math","advanced-math","hard","3.0","agieval","Solve: (x-1)² = 9"
"agieval-prob-002","math","problem-solving-data-analysis","hard","4.0","agieval","If ratio is 2:3 and first part is 10, second part?"
"agieval-geo-002","math","geometry-trigonometry","medium","3.5","agieval","Area of triangle: base 8, height 6?"
"kaggle-alg-003","math","algebra","easy","4.0","kaggle","Solve: 10 - x = 3"
"kaggle-adv-001","math","advanced-math","medium","3.5","kaggle","Simplify: √50"
"kaggle-prob-002","math","problem-solving-data-analysis","hard","4.0","kaggle","If profit is 25% on $80 cost, selling price?"
"kaggle-geo-002","math","geometry-trigonometry","medium","3.5","kaggle","Volume of cylinder: radius 2, height 5?"
"read-info-004","reading-writing","information-and-ideas","easy","4.0","generated","What are the inputs for photosynthesis?"
"read-craft-004","reading-writing","craft-and-structure","medium","3.5","generated","What type of sentence is this: 'Although it was ra"
"read-expr-004","reading-writing","expression-of-ideas","medium","3.5","generated","Fix this run-on: 'The dog barked the cat hissed.'"
"read-std-004","reading-writing","standard-english-conventions","easy","4.0","generated","Correct: 'My _____ book is on the table.' (its/it'"
"opensat-alg-008","math","algebra","hard","3.0","opensat","Solve: |2x - 4| = 6"
"opensat-adv-005","math","advanced-math","hard","3.0","opensat","If 4^x = 1/16, what is x?"
"opensat-prob-004","math","problem-solving-data-analysis","medium","3.5","opensat","Median of 3, 5, 7, 9, 11 is?"
"opensat-geo-004","math","geometry-trigonometry","easy","4.0","opensat","Perimeter of rectangle: length 10, width 6?"
